Type-sub,Type-obj,Mono-sub,Mono-obj,Streng-sub,Streng-obj,neg,pred,Type-sub,Type-obj,Mono-sub,Mono-obj,Streng-sub,Streng-obj,neg,pred
Non-num,Non-num,up,up,6,10,no,high,,,,,,,,
,,,,,,,,,,,,,,,
Non-num,Non-num,down,down,0,0,yes,high,Non-num,num,down,up,4,,no,high
Non-num,num,up,up,10,,no,high,,,,,,,,
,,,,,,,,,,,,,,,
Non-num,num,up,up,6,7.5,no,high,,,,,,,,
Non-num,Non-num,up,down,6,3,no,high,,,,,,,,
Non-num,Non-num,up,up,2,10,no,high,,,,,,,,
num,Non-num,up,Non-mono,40,0,,,,,,,,,,
Non-num,Non-num,down,up,3,10,no,high,,,,,,,,
Non-num,Non-num,up,up,6,6,no,high,,,,,,,,
Non-num,Non-num,up,up,6,2,no,high,,,,,,,,
Non-num,Non-num,up,up,6,6,no,high,,,,,,,,
Non-num,Non-num,up,up,2,6,no,high,,,,,,,,
Non-num,Non-num,up,up,2,2,no,high,,,,,,,,
Non-num,Non-num,up,up,2,10,no,low,,,,,,,,
,,,,,,,,,,,,,,,
Non-num,Non-num,up,up,10,6,no,high,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Non-num,Non-num,up,up,10,6,no,high,,,,,,,,
Non-num,Non-num,up,up,3,10,no,low,,,,,,,,
Non-num,Non-num,up,up,10,10,no,low,,,,,,,,
num,Non-num,Non-mono,up,4,10,no,low,,,,,,,,
Non-num,Non-num,up,up,6,10,no,high,,,,,,,,
Non-num,no,up,,6,,no,high,,,,,,,,
num,Non-num,Non-mono,up,6,3,no,low,,,,,,,,
Non-num,Non-num,up,up,10,2,no,high,,,,,,,,
Non-num,num,down,up,0,2.5,no,high,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Non-num,Non-num,down,up,0,10,yes,high,,,,,,,,
Non-num,Non-num,up,Non-mono,2,0,no,low,,,,,,,,
,,,,,,,,,,,,,,,
Non-num,num,up,up,2,2.5,yes,high,,,,,,,,
,,,,,,,,,,,,,,,
num,Non-num,Non-mono,up,4,1,no,high,,,,,,,,
